voivodeship,date,cases
warmińsko-mazurskie,2020-11-30,327
łódzkie,2020-11-30,375
mazowieckie,2020-11-30,659
lubelskie,2020-11-30,285
lubuskie,2020-11-30,259
śląskie,2020-11-29,977
opolskie,2020-11-29,432
wielkopolskie,2020-11-29,1574
zachodniopomorskie,2020-11-29,780
świętokrzyskie,2020-11-29,270
kujawsko-pomorskie,2020-11-29,623
podlaskie,2020-11-29,307
dolnośląskie,2020-11-29,781
podkarpackie,2020-11-29,339
małopolskie,2020-11-29,440
pomorskie,2020-11-29,978
warmińsko-mazurskie,2020-11-29,618
łódzkie,2020-11-29,838
mazowieckie,2020-11-29,1413
lubelskie,2020-11-29,616
lubuskie,2020-11-29,373
śląskie,2020-11-28,1402
opolskie,2020-11-28,429
wielkopolskie,2020-11-28,1748
zachodniopomorskie,2020-11-28,902
świętokrzyskie,2020-11-28,310
kujawsko-pomorskie,2020-11-28,1004
podlaskie,2020-11-28,481
dolnośląskie,2020-11-28,1481
podkarpackie,2020-11-28,713
małopolskie,2020-11-28,661
pomorskie,2020-11-28,1026
warmińsko-mazurskie,2020-11-28,950
łódzkie,2020-11-28,658
mazowieckie,2020-11-28,1986
lubelskie,2020-11-28,937
lubuskie,2020-11-28,398
śląskie,2020-11-27,1560
opolskie,2020-11-27,536
wielkopolskie,2020-11-27,2072
zachodniopomorskie,2020-11-27,915
świętokrzyskie,2020-11-27,406
kujawsko-pomorskie,2020-11-27,1368
podlaskie,2020-11-27,491
dolnośląskie,2020-11-27,1318
podkarpackie,2020-11-27,790
małopolskie,2020-11-27,868
pomorskie,2020-11-27,1258
warmińsko-mazurskie,2020-11-27,1065
łódzkie,2020-11-27,1001
mazowieckie,2020-11-27,2057
lubelskie,2020-11-27,802
lubuskie,2020-11-27,494
śląskie,2020-11-26,1824
opolskie,2020-11-26,587
wielkopolskie,2020-11-26,1668
zachodniopomorskie,2020-11-26,991
świętokrzyskie,2020-11-26,473
kujawsko-pomorskie,2020-11-26,1207
podlaskie,2020-11-26,464
dolnośląskie,2020-11-26,1112
podkarpackie,2020-11-26,649
małopolskie,2020-11-26,914
pomorskie,2020-11-26,1105
warmińsko-mazurskie,2020-11-26,1210
łódzkie,2020-11-26,1099
mazowieckie,2020-11-26,1785
lubelskie,2020-11-26,1027
lubuskie,2020-11-26,508
śląskie,2020-11-25,1941
opolskie,2020-11-25,459
wielkopolskie,2020-11-25,1420
zachodniopomorskie,2020-11-25,1011
świętokrzyskie,2020-11-25,303
kujawsko-pomorskie,2020-11-25,1321
podlaskie,2020-11-25,449
dolnośląskie,2020-11-25,825
podkarpackie,2020-11-25,590
małopolskie,2020-11-25,933
pomorskie,2020-11-25,1126
warmińsko-mazurskie,2020-11-25,858
łódzkie,2020-11-25,1010
mazowieckie,2020-11-25,1577
lubelskie,2020-11-25,932
lubuskie,2020-11-25,504
śląskie,2020-11-24,945
opolskie,2020-11-24,512
wielkopolskie,2020-11-24,630
zachodniopomorskie,2020-11-24,457
świętokrzyskie,2020-11-24,359
kujawsko-pomorskie,2020-11-24,521
podlaskie,2020-11-24,309
dolnośląskie,2020-11-24,1035
podkarpackie,2020-11-24,540
małopolskie,2020-11-24,486
pomorskie,2020-11-24,979
warmińsko-mazurskie,2020-11-24,473
łódzkie,2020-11-24,563
mazowieckie,2020-11-24,1166
lubelskie,2020-11-24,670
lubuskie,2020-11-24,267
śląskie,2020-11-23,694
opolskie,2020-11-23,493
wielkopolskie,2020-11-23,1899
zachodniopomorskie,2020-11-23,965
świętokrzyskie,2020-11-23,364
kujawsko-pomorskie,2020-11-23,931
podlaskie,2020-11-23,455
dolnośląskie,2020-11-23,1035
podkarpackie,2020-11-23,540
małopolskie,2020-11-23,1401
pomorskie,2020-11-23,959
warmińsko-mazurskie,2020-11-23,864
łódzkie,2020-11-23,906
mazowieckie,2020-11-23,2295
lubelskie,2020-11-23,795
lubuskie,2020-11-23,406
śląskie,2020-11-22,1611
opolskie,2020-11-22,563
wielkopolskie,2020-11-22,2070
zachodniopomorskie,2020-11-22,960
świętokrzyskie,2020-11-22,391
kujawsko-pomorskie,2020-11-22,1000
podlaskie,2020-11-22,865
dolnośląskie,2020-11-22,1005
podkarpackie,2020-11-22,703
małopolskie,2020-11-22,1444
pomorskie,2020-11-22,1139
warmińsko-mazurskie,2020-11-22,890
łódzkie,2020-11-22,1136
mazowieckie,2020-11-22,2607
lubelskie,2020-11-22,1511
lubuskie,2020-11-22,572
śląskie,2020-11-21,2263
opolskie,2020-11-21,703
wielkopolskie,2020-11-21,2525
zachodniopomorskie,2020-11-21,1101
świętokrzyskie,2020-11-21,760
kujawsko-pomorskie,2020-11-21,1257
podlaskie,2020-11-21,927
dolnośląskie,2020-11-21,1792
podkarpackie,2020-11-21,872
małopolskie,2020-11-21,2213
pomorskie,2020-11-21,1715
warmińsko-mazurskie,2020-11-21,1191
łódzkie,2020-11-21,1563
mazowieckie,2020-11-21,3086
lubelskie,2020-11-21,1600
lubuskie,2020-11-21,645
śląskie,2020-11-20,2666
opolskie,2020-11-20,792
wielkopolskie,2020-11-20,2258
zachodniopomorskie,2020-11-20,1276
świętokrzyskie,2020-11-20,860
kujawsko-pomorskie,2020-11-20,1431
podlaskie,2020-11-20,722
dolnośląskie,2020-11-20,1626
podkarpackie,2020-11-20,840
małopolskie,2020-11-20,1999
pomorskie,2020-11-20,1551
warmińsko-mazurskie,2020-11-20,1055
łódzkie,2020-11-20,1472
mazowieckie,2020-11-20,2679
lubelskie,2020-11-20,675
lubuskie,2020-11-20,562
śląskie,2020-11-19,4377
opolskie,2020-11-19,682
wielkopolskie,2020-11-19,2153
zachodniopomorskie,2020-11-19,1185
świętokrzyskie,2020-11-19,945
kujawsko-pomorskie,2020-11-19,940
podlaskie,2020-11-19,517
dolnośląskie,2020-11-19,1808
podkarpackie,2020-11-19,1096
małopolskie,2020-11-19,1670
pomorskie,2020-11-19,1499
warmińsko-mazurskie,2020-11-19,1025
łódzkie,2020-11-19,1288
mazowieckie,2020-11-19,3041
lubelskie,2020-11-19,1108
lubuskie,2020-11-19,641
śląskie,2020-11-18,2214
opolskie,2020-11-18,861
wielkopolskie,2020-11-18,1174
zachodniopomorskie,2020-11-18,1146
świętokrzyskie,2020-11-18,870
kujawsko-pomorskie,2020-11-18,854
podlaskie,2020-11-18,480
dolnośląskie,2020-11-18,2091
podkarpackie,2020-11-18,777
małopolskie,2020-11-18,1608
pomorskie,2020-11-18,1313
warmińsko-mazurskie,2020-11-18,788
łódzkie,2020-11-18,1154
mazowieckie,2020-11-18,3340
lubelskie,2020-11-18,627
lubuskie,2020-11-18,586
śląskie,2020-11-17,2442
opolskie,2020-11-17,732
wielkopolskie,2020-11-17,1475
zachodniopomorskie,2020-11-17,1191
